Title,Link,Price_sale,Sale_off,Location,Index_,Total_sold,Preview,price_original,ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
"Ổ cứng Laptop HDD, SSD M2 1TB, 750GB, 640Gb, 500Gb, 320Gb bảo hành 1 đổi 1",https://www.lazada.vn/products/o-cung-laptop-hdd-ssd-m2-1tb-750gb-640gb-500gb-320gb-bao-hanh-1-doi-1-i2164261181.html,165.000 ₫,13% Off,Hồ Chí Minh,11,2.2K Đã bán,(782),[],16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,100%,100%,3,1,2,12,761
"Thanh lý Laptop Toshiba, core I5, ram 4Gb, ô cứng SSD 120G, full chức năng. Giá bán: 1,2 triệu",https://www.lazada.vn/products/thanh-ly-laptop-toshiba-core-i5-ram-4gb-o-cung-ssd-120g-full-chuc-nang-gia-ban-12-trieu-i2342620790.html,1.200.000 ₫,,Tiền Giang,12,25 Đã bán,(10),[],32.200 ₫,3 ngày trả hàng cho Nhà bán hàng,87%,37%,100%,0,0,0,1,9
Laptop Dell Latitude E5480 màn 14 inch Ram 8G SSD 256G - Core i5 6200U Likenew,https://www.lazada.vn/products/laptop-dell-latitude-e5480-man-14-inch-ram-8g-ssd-256g-core-i5-6200u-likenew-i2272620468.html,3.258.000 ₫,19% Off,Nghệ An,13,73 Đã bán,(31),['3.998.000 ₫'],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,90%,0,0,1,0,30
Laptop Dell Latitude E7270 ram 8G SSD 256G - Core i5 6200u Gọn nhẹ thời trang,https://www.lazada.vn/products/laptop-dell-latitude-e7270-ram-8g-ssd-256g-core-i5-6200u-gon-nhe-thoi-trang-i2302316653.html,3.248.000 ₫,10% Off,Nghệ An,14,64 Đã bán,(28),['3.598.000 ₫'],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,90%,0,0,0,0,28
Laptop cũ giá rẻ nhiều hãng core i3 i5 ram 4gb - 8gb,https://www.lazada.vn/products/laptop-cu-gia-re-nhieu-hang-core-i3-i5-ram-4gb-8gb-i2291333335.html,1.799.000 ₫,,Đồng Nai,15,146 Đã bán,(41),[],65.500 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,100%,100%,0,0,0,1,40
"Laptop HP 4730S i7 , SSD120G , Ram 8G Hàng Nhập Khẩu Japan Giá sinh viên full box Tặng kèm box 250G (Giá rẻ nếu mua số lượng)",https://www.lazada.vn/products/laptop-hp-4730s-i7-ssd120g-ram-8g-hang-nhap-khau-japan-gia-sinh-vien-full-box-tang-kem-box-250g-gia-re-neu-mua-so-luong-i251073973.html,2.455.000 ₫,,Hà Nội,16,14 Đã bán,(2),[],38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,79%,76%,96%,0,0,1,0,1
Laptop HP 15s-fq5228TU - 8U240PA (i3-1215U) (Xanh) - Bảo hành 12 tháng,https://www.lazada.vn/products/laptop-hp-15s-fq5228tu-8u240pa-i3-1215u-xanh-bao-hanh-12-thang-i2311857354.html,10.090.000 ₫,"22% Off
LazTrợ giá
Áp dụng voucher",Hồ Chí Minh,17,351 Đã bán,(108),['12.990.000 ₫'],21.200 ₫,100% Chính hãng,98%,75%,100%,3,0,0,1,104
"Laptop core 2 giá rẻ, ram 4G, HDD 250G, đầy đủ chức năng, ngoại hình đẹp",https://www.lazada.vn/products/laptop-core-2-gia-re-ram-4g-hdd-250g-day-du-chuc-nang-ngoai-hinh-dep-i2493737444.html,1.239.000 ₫,38% Off,Hồ Chí Minh,18,22 Đã bán,(10),['2.200.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,0,0,0,10
[Voucher Discount 15% Max 3000k ] Laptop HP Pavilion 15 eg2058TU (6K788PA) | Intel® Alder Lake Core™ i5 _ 1240P | 8GB | 256GB SSD PCIe | Intel® Iris® Xe Graphics | 15.6 inch Full HD IPS | Win 11| Hàng Chính Hãng,https://www.lazada.vn/products/voucher-discount-15-max-3000k-laptop-hp-pavilion-15-eg2058tu-6k788pa-intel-alder-lake-core-i5-_-1240p-8gb-256gb-ssd-pcie-intel-iris-xe-graphics-156-inch-full-hd-ips-win-11-hang-chinh-hang-i2062128661.html,14.699.000 ₫,30% Off,Hồ Chí Minh,19,38 Đã bán,(12),['21.000.000 ₫'],23.800 ₫,100% Chính hãng,100%,100%,Không đủ thông tin,0,0,0,0,12
Laptop Lenovo K22 mỏng nhẹ chỉ 1.1 Kg - Core i5 6200u 8G 256G SSD,https://www.lazada.vn/products/laptop-lenovo-k22-mong-nhe-chi-11-kg-core-i5-6200u-8g-256g-ssd-i2627655310.html,2.848.000 ₫,,Nghệ An,20,,(1),[],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,90%,0,0,0,0,1
Lenovo Laptop 14 FHD Màn hình Intel Core i5 12GB RAM 128GB SSD Ultra HD Card đồ họa 600 Windows 11 Professional Student Laptop Chơi game với WiFi Bluetooth,https://www.lazada.vn/products/lenovo-laptop-14-fhd-man-hinh-intel-core-i5-12gb-ram-128gb-ssd-ultra-hd-card-do-hoa-600-windows-11-professional-student-laptop-choi-game-voi-wifi-bluetooth-i2361371890.html,4.804.919 ₫,44% Off,Hải Phòng,21,97 Đã bán,(23),['8.599.999 ₫'],51.100 ₫,3 ngày trả hàng cho Nhà bán hàng,88%,100%,Không đủ thông tin,3,0,1,0,20
"【Bảo hành 2 năm】Máy tính xách tay dành cho sinh viên màu hồng Royal ASUS Intel Core i7/Core i5/Intel Celeron J4125 2024 Ultrabook Intel thế hệ thứ 11 mới Monspring 15,6 inch RAM16g SSD 512GB Máy tính xách tay chơi game mở khóa bằng vân tay có camera tích",https://www.lazada.vn/products/bao-hanh-2-nammay-tinh-xach-tay-danh-cho-sinh-vien-mau-hong-royal-asus-intel-core-i7core-i5intel-celeron-j4125-2024-ultrabook-intel-the-he-thu-11-moi-monspring-156-inch-ram16g-ssd-512gb-may-tinh-xach-tay-choi-game-mo-khoa-bang-van-tay-co-camera-tich-i1980639194.html,6.685.956 ₫,27% Off,Hồ Chí Minh,22,69 Đã bán,(28),['9.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,97%,Không đủ thông tin,100%,0,0,0,0,28
Laptop Dell 7240. Mỏng nhẹ giá tốt.,https://www.lazada.vn/products/laptop-dell-7240-mong-nhe-gia-tot-i2212086652.html,12.000.000 ₫,,Thái Nguyên,23,,,[],43.900 ₫,3 ngày trả hàng cho Nhà bán hàng,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
"Máy tính xách tay Asus i7/J4125 sổ ghi chép phiên bản sang trọng 15,6 -inch máy tính xách tay màu hồng Máy tính xách tay SSD 512GB/1TB Máy ảnh được xây dựng Window10/11 chạy trơn tru",https://www.lazada.vn/products/may-tinh-xach-tay-asus-i7j4125-so-ghi-chep-phien-ban-sang-trong-156-inch-may-tinh-xach-tay-mau-hong-may-tinh-xach-tay-ssd-512gb1tb-may-anh-duoc-xay-dung-window1011-chay-tron-tru-i2034062366.html,6.851.459 ₫,24% Off,Hồ Chí Minh,24,127 Đã bán,(27),['9.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,97%,Không đủ thông tin,100%,0,0,0,0,27
ELITER X2 g4,https://www.lazada.vn/products/eliter-x2-g4-i2479901334.html,7.689.000 ₫,,Hưng Yên,25,40 Đã bán,(7),[],37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,100%,98%,Không đủ thông tin,0,0,0,0,7
laptop gaming full bộ ASUS factory 15.6 inch i7/gen 12th J4125 notebookgaming máy tính xách tay 12GB 512GBSSD 1920*1080p warranty 2year,https://www.lazada.vn/products/laptop-gaming-full-bo-asus-factory-156-inch-i7gen-12th-j4125-notebookgaming-may-tinh-xach-tay-12gb-512gbssd-19201080p-warranty-2year-i1874428796.html,7.191.218 ₫,40% Off,Hồ Chí Minh,26,103 Đã bán,(39),[],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,98%,Không đủ thông tin,Không đủ thông tin,1,0,1,0,37
"Laptop cũ mới 99% HP 840 G3 i5, Ram 8G, SSD 256G Đáp ứng đầy đủ học tập làm việc, giải trí",https://www.lazada.vn/products/laptop-cu-moi-99-hp-840-g3-i5-ram-8g-ssd-256g-dap-ung-day-du-hoc-tap-lam-viec-giai-tri-i744376248.html,5.499.000 ₫,25% Off,Hà Nội,27,130 Đã bán,(57),['7.299.000 ₫'],74.400 ₫,3 ngày trả hàng cho Nhà bán hàng,96%,100%,100%,0,0,0,2,55
Laptop Dell Latitude E7400 Core i5 8265U Ram 8G SSD 256G Màn hình 14” Full HD,https://www.lazada.vn/products/laptop-dell-latitude-e7400-core-i5-8265u-ram-8g-ssd-256g-man-hinh-14-full-hd-i2403355302.html,6.950.000 ₫,,Hồ Chí Minh,28,,,[],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,93%,0,0,0,0,0
ASUS Factory 14 inch Máy tính xách tay mới Intel Core i5 RAM 12GB SSD 128GB Máy tính xách tay chính hãng Cửa sổ 11/MS Office FHD 1920x1080 Máy tính xách tay sinh viên Bảo hành cơ bản 2 năm,https://www.lazada.vn/products/asus-factory-14-inch-may-tinh-xach-tay-moi-intel-core-i5-ram-12gb-ssd-128gb-may-tinh-xach-tay-chinh-hang-cua-so-11ms-office-fhd-1920x1080-may-tinh-xach-tay-sinh-vien-bao-hanh-co-ban-2-nam-i2405944686.html,4.799.999 ₫,40% Off,Hải Phòng,29,117 Đã bán,(33),['7.939.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,95%,99%,100%,1,0,0,0,32
"【Vietnam spot】【ASUS Factory】Monsprin 2024 new Laptop 15.6"" FHD 11th gen Intel Celeron J4125 laptop giá rẻ ram 8g/12GB DDR4 128GB/256GB SSD Windows 10/Ms office notebook gaming Thích hợp cho các lớp học trực tuyến và văn phòng trực tuyến",https://www.lazada.vn/products/vietnam-spotasus-factorymonsprin-2024-new-laptop-156-fhd-11th-gen-intel-celeron-j4125-laptop-gia-re-ram-8g12gb-ddr4-128gb256gb-ssd-windows-10ms-office-notebook-gaming-thich-hop-cho-cac-lop-hoc-truc-tuyen-va-van-phong-truc-tuyen-i1915663823.html,6.519.809 ₫,8% Off,Hồ Chí Minh,30,294 Đã bán,(118),['8.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,Không đủ thông tin,1,0,2,0,115
asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 2 năm,https://www.lazada.vn/products/asus-factory-laptop-mini-100-moi-141-inch-intel-j4105-ram-6gb-ssd-256gb-may-tinh-xach-tay-windows-10-pro-ms-office-notebook-lenovo-factory-bao-hanh-2-nam-i2420326077.html,5.739.653 ₫,"56% Off
Áp dụng voucher",Hồ Chí Minh,31,33 Đã bán,(19),['13.999.998 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,97%,81%,100%,1,0,0,0,18
Mới[Mới 100%]【Lennovo Factory】Monsprin 2024 new Laptop lap top gaming giá rẻ 14 inch 11th gen intel Celeron J4105 RAM 6GB 128GB/256GB SSD Được cài đặt sẵn hệ thống Windows 10 chính hãng và MS Office với ngôn ngữ địa phương tiếng Việt,https://www.lazada.vn/products/moimoi-100lennovo-factorymonsprin-2024-new-laptop-lap-top-gaming-gia-re-14-inch-11th-gen-intel-celeron-j4105-ram-6gb-128gb256gb-ssd-duoc-cai-dat-san-he-thong-windows-10-chinh-hang-va-ms-office-voi-ngon-ngu-dia-phuong-tieng-viet-i1969918462.html,6.614.299 ₫,27% Off,Hồ Chí Minh,32,91 Đã bán,(49),['8.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,Không đủ thông tin,1,0,0,2,46
"[Trả góp]Laptop HP ENVY x360 13-bf0114TU,Core i5-1230U,8GB RAM,512GB SSD,Intel Graphics,13.3""2.8K Touch,Webcam,Pen,Win11 Home 64,Natural Silver,1Y_7C0P0PA - Hàng chính hãng",https://www.lazada.vn/products/tra-goplaptop-hp-envy-x360-13-bf0114tucore-i5-1230u8gb-ram512gb-ssdintel-graphics13328k-touchwebcampenwin11-home-64natural-silver1y_7c0p0pa-hang-chinh-hang-i2134631265.html,26.000.000 ₫,10% Off,Hồ Chí Minh,33,8 Đã bán,,['28.790.000 ₫'],Miễn phí,100% Chính hãng,94%,80%,100%,0,0,0,0,0
"Laptop văn phòng cho học sinh, sinh viên|LAPTOP ASUS VIVOBOOK",https://www.lazada.vn/products/laptop-van-phong-cho-hoc-sinh-sinh-vienlaptop-asus-vivobook-i2651332909.html,5.200.000 ₫,,Thanh Hóa,34,,,[],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,Nhà bán hàng mới,Không đủ thông tin,Không đủ thông tin,N/A,N/A,N/A,N/A,N/A
"Laptop văn phòng cho học sinh, sinh viên| Dell Latitude E7270",https://www.lazada.vn/products/laptop-van-phong-cho-hoc-sinh-sinh-vien-dell-latitude-e7270-i2651392534.html,3.900.000 ₫,,Thanh Hóa,35,,,[],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,Nhà bán hàng mới,Không đủ thông tin,Không đủ thông tin,N/A,N/A,N/A,N/A,N/A
"Laptop Cũ Rẻ Các Hãng Core i7 / i5 / Ram 8gb / Màn hình 14 - 15.6inch / Làm Văn Phòng, Học Tập Mượt Mà",https://www.lazada.vn/products/laptop-cu-re-cac-hang-core-i7-i5-ram-8gb-man-hinh-14-156inch-lam-van-phong-hoc-tap-muot-ma-i2412244652.html,2.622.600 ₫,42% Off,Hồ Chí Minh,36,89 Đã bán,(36),['4.100.000 ₫'],16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,96%,78%,91%,N/A,N/A,N/A,N/A,N/A
Lenovo Thinkpad / Tosiba / Dell Core i5 / RAM 8GB / SSD 256GB / Màn 12.5 inch HD 1366x768 (Phím JP) Hàng Chính Hãng,https://www.lazada.vn/products/lenovo-thinkpad-tosiba-dell-core-i5-ram-8gb-ssd-256gb-man-125-inch-hd-1366x768-phim-jp-hang-chinh-hang-i2391912424.html,1.798.761 ₫,10% Off,Hà Nội,37,18 Đã bán,(4),['4.290.000 ₫'],84.600 ₫,100% Chính hãng,94%,100%,68%,N/A,N/A,N/A,N/A,N/A
Laptop Lenovo Thinkpad X270 i5-6200U Màn 12 inch NHỎ GỌN THUẬN TIỆN DI CHUYỂN,https://www.lazada.vn/products/laptop-lenovo-thinkpad-x270-i5-6200u-man-12-inch-nho-gon-thuan-tien-di-chuyen-i2148043800.html,4.500.000 ₫,,Hưng Yên,38,14 Đã bán,(5),[],51.100 ₫,3 ngày trả hàng cho Nhà bán hàng,100%,98%,Không đủ thông tin,N/A,N/A,N/A,N/A,N/A
Laptop HP ProBook 450 G10 873J7PA (Core i5 1340P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD Touch screen/ Windows 11 Home/ Silver/ Vỏ nhôm) - Hàng Chính Hãng,https://www.lazada.vn/products/laptop-hp-probook-450-g10-873j7pa-core-i5-1340p-16gb-512gb-ssd-intel-uhd-graphics-156inch-fhd-touch-screen-windows-11-home-silver-vo-nhom-hang-chinh-hang-i2413015988.html,21.600.000 ₫,8% Off,Hồ Chí Minh,39,,(1),['23.590.000 ₫'],Miễn phí,100% Chính hãng,94%,80%,100%,N/A,N/A,N/A,N/A,N/A
2024 Laptop chính hãng intel core i7 RAM 16GB SSD 512GB Windows 10PRO/ MS Office 15.6inch máy tính laptop Chỉnh sửa video Photoshop Bảo hành 2 năm,https://www.lazada.vn/products/2024-laptop-chinh-hang-intel-core-i7-ram-16gb-ssd-512gb-windows-10pro-ms-office-156inch-may-tinh-laptop-chinh-sua-video-photoshop-bao-hanh-2-nam-i2593070425.html,8.453.099 ₫,"35% Off
Áp dụng voucher",Hồ Chí Minh,40,13 Đã bán,(3),['13.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,97%,81%,100%,N/A,N/A,N/A,N/A,N/A
